doi,oa_roadoi,oa_status,oa_match
10.1016/j.radonc.2017.10.025,closed,closed,TRUE
10.1016/j.radonc.2017.12.007,green,green,TRUE
10.1016/j.reprotox.2018.06.002,closed,closed,TRUE
10.1016/j.resuscitation.2018.07.007,closed,closed,TRUE
10.1016/j.schres.2018.03.019,green,green,TRUE
10.1016/j.spinee.2017.11.005,closed,closed,TRUE
10.1016/j.toxlet.2017.10.006,closed,closed,TRUE
10.1016/j.transproceed.2018.08.028,closed,closed,TRUE
10.1016/j.wneu.2018.08.089,closed,closed,TRUE
10.1016/j.ygyno.2017.10.019,green,green,TRUE
10.1016/s0140-6736(18)31115-2,closed,closed,TRUE
10.1016/s0140-6736(18)31946-9,closed,closed,TRUE
10.1016/s0140-6736(18)32225-6,hybrid,hybrid,TRUE
10.1016/s0140-6736(18)32281-5,hybrid,hybrid,TRUE
10.1016/s1470-2045(17)30904-x,closed,closed,TRUE
10.1016/s1470-2045(18)30333-4,closed,closed,TRUE
10.1016/s1470-2045(18)30580-1,closed,closed,TRUE
10.1016/s2213-2600(18)30052-3,green,green,TRUE
10.1017/s1041610217001387,closed,closed,TRUE
10.1017/s1047951117001421,closed,closed,TRUE
10.1038/ajg.2017.501,closed,closed,TRUE
10.1038/leu.2017.210,green,green,TRUE
10.1038/mi.2017.52,green,bronze,FALSE
10.1038/mp.2017.44,green,green,TRUE
10.1038/nrdp.2018.1,closed,closed,TRUE
10.1038/s41375-018-0179-9,closed,closed,TRUE
10.1038/s41379-018-0110-y,hybrid,hybrid,TRUE
10.1038/s41387-018-0029-x,gold,gold,TRUE
10.1038/s41389-018-0047-5,gold,gold,TRUE
10.1038/s41398-017-0077-3,gold,gold,TRUE
10.1038/s41416-018-0157-z,hybrid,hybrid,TRUE
10.1038/s41426-018-0199-6,gold,gold,TRUE
10.1038/s41440-018-0072-y,closed,closed,TRUE
10.1038/s41443-017-0005-3,closed,closed,TRUE
10.1038/s41467-018-03995-2,gold,gold,TRUE
10.1038/s41467-018-05893-z,gold,gold,TRUE
10.1038/s41467-018-07598-9,gold,gold,TRUE
10.1038/s41588-018-0084-1,green,green,TRUE
10.1038/s41588-018-0098-8,closed,closed,TRUE
10.1038/s41588-018-0138-4,green,green,TRUE
10.1038/s41591-018-0015-9,closed,closed,TRUE
10.1038/s41592-018-0178-9,closed,closed,TRUE
10.1038/s41593-018-0128-y,green,green,TRUE
10.1038/s41596-018-0030-9,green,green,TRUE
10.1038/s41598-018-19993-9,gold,gold,TRUE
10.1038/s41598-018-20686-6,gold,gold,TRUE
10.1038/s41598-018-23165-0,gold,gold,TRUE
10.1038/s41598-018-26099-9,gold,gold,TRUE
10.1038/s41598-018-27830-2,gold,gold,TRUE
10.1038/s41598-018-32608-7,gold,gold,TRUE
10.1055/a-0598-3114,closed,closed,TRUE
10.1055/a-0599-0367,closed,closed,TRUE
10.1055/a-0611-5549,hybrid,hybrid,TRUE
10.1055/a-0629-8776,closed,closed,TRUE
10.1055/a-0661-6099,closed,closed,TRUE
10.1055/a-0667-0493,bronze,bronze,TRUE
10.1055/a-0682-1469,bronze,bronze,TRUE
10.1055/a-0682-3030,closed,closed,TRUE
10.1055/a-0715-7961,closed,closed,TRUE
10.1055/s-0038-1673537,bronze,bronze,TRUE
10.1055/s-0042-120542,closed,closed,TRUE
10.1055/s-0043-118043,closed,closed,TRUE
10.1055/s-0043-118476,bronze,bronze,TRUE
10.1055/s-0043-119897,closed,closed,TRUE
10.1055/s-0043-120906,closed,closed,TRUE
10.1055/s-0043-123067,closed,closed,TRUE
10.1055/s-0044-100147,hybrid,hybrid,TRUE
10.1056/nejmoa1801174,green,bronze,FALSE
10.1056/nejmoa1802686,green,bronze,FALSE
10.1056/nejmoa1808788,green,bronze,FALSE
10.1073/pnas.1718769115,hybrid,hybrid,TRUE
10.1073/pnas.1804876115,hybrid,hybrid,TRUE
10.1080/00015458.2017.1385894,closed,closed,TRUE
10.1080/17470919.2016.1252795,closed,closed,TRUE
10.1080/21691401.2018.1505748,bronze,bronze,TRUE
10.1088/1361-6579/aaeafa,closed,closed,TRUE
10.1089/ten.tec.2017.0369,closed,closed,TRUE
10.1093/annonc/mdy037,green,bronze,FALSE
10.1093/annonc/mdy181,green,bronze,FALSE
10.1093/brain/awy206,closed,closed,TRUE
10.1093/chemse/bjy017,bronze,bronze,TRUE
10.1093/ehjci/jex190,bronze,bronze,TRUE
10.1093/eurheartj/ehy340,green,bronze,FALSE
10.1093/europace/eux087,closed,closed,TRUE
10.1093/gerona/glx074,bronze,bronze,TRUE
10.1093/humrep/dey111,bronze,bronze,TRUE
10.1093/icvts/ivy036,bronze,bronze,TRUE
10.1093/infdis/jiy055,bronze,bronze,TRUE
10.1093/jn/nxx043,green,bronze,FALSE
10.1093/ndt/gfw422,hybrid,hybrid,TRUE
10.1093/ndt/gfx206,bronze,bronze,TRUE
10.1093/ndt/gfy002,bronze,bronze,TRUE
10.1093/ndt/gfy030,bronze,bronze,TRUE
10.1093/neuonc/nox216,green,bronze,FALSE
10.1093/sleep/zsx191,bronze,bronze,TRUE
10.1097/j.pain.0000000000001328,green,green,TRUE
10.1097/mca.0000000000000569,closed,closed,TRUE
10.1097/mcd.0000000000000212,closed,closed,TRUE
10.1097/mcg.0000000000000798,closed,closed,TRUE
10.1097/mpa.0000000000001083,closed,closed,TRUE
10.1097/rli.0000000000000419,closed,closed,TRUE
10.1097/shk.0000000000001048,closed,closed,TRUE
10.1097/sla.0000000000002220,closed,closed,TRUE
10.1097/sla.0000000000002326,hybrid,hybrid,TRUE
10.1097/tp.0000000000002006,closed,closed,TRUE
10.1097/tp.0000000000002024,closed,closed,TRUE
10.1097/tp.0000000000002139,closed,closed,TRUE
10.1098/rsob.180076,gold,gold,TRUE
10.1111/acps.12848,closed,closed,TRUE
10.1111/aji.12988,closed,closed,TRUE
10.1111/ajt.14537,hybrid,hybrid,TRUE
10.1111/ajt.14897,bronze,bronze,TRUE
10.1111/all.13238,green,green,TRUE
10.1111/all.13269,closed,closed,TRUE
10.1111/all.13397,green,bronze,FALSE
10.1111/anae.14228,bronze,bronze,TRUE
10.1111/ane.13004,closed,closed,TRUE
10.1111/apha.12925,closed,closed,TRUE
10.1111/bjd.16140,hybrid,hybrid,TRUE
10.1111/bjd.16324,green,green,TRUE
10.1111/bjd.16565,closed,closed,TRUE
10.1111/bjh.14965,bronze,bronze,TRUE
10.1111/bju.14212,closed,closed,TRUE
10.1111/bph.14485,green,bronze,FALSE
10.1111/cen.13600,closed,closed,TRUE
10.1111/clr.13274,bronze,bronze,TRUE
10.1111/clr.13302,hybrid,hybrid,TRUE
10.1111/coa.12977,closed,closed,TRUE
10.1111/ddg.13531,bronze,bronze,TRUE
10.1111/ddg.13538,closed,closed,TRUE
10.1111/dom.13104,hybrid,hybrid,TRUE
10.1111/ejh.12976,closed,closed,TRUE
10.1111/iwj.12883,closed,closed,TRUE
10.1111/jan.13562,closed,closed,TRUE
10.1111/jcpe.12823,closed,closed,TRUE
10.1111/jcpe.12900,closed,closed,TRUE
10.1111/jdv.14888,bronze,bronze,TRUE
10.1111/jnc.14460,green,bronze,FALSE
10.1111/joic.12457,bronze,bronze,TRUE
10.1111/joic.12506,closed,closed,TRUE
10.1111/myc.12748,hybrid,hybrid,TRUE
10.1111/nmo.13292,hybrid,hybrid,TRUE
10.1111/tri.13041,bronze,bronze,TRUE
10.1111/tri.13262,hybrid,hybrid,TRUE
10.1113/jp276923,green,bronze,FALSE
10.1126/scitranslmed.aam8828,bronze,bronze,TRUE
10.1126/scitranslmed.aan6205,green,bronze,FALSE
10.1136/annrheumdis-2017-211734,hybrid,hybrid,TRUE
10.1136/annrheumdis-2017-211912,hybrid,hybrid,TRUE
10.1136/annrheumdis-2017-212377,hybrid,hybrid,TRUE
10.1136/annrheumdis-2017-212565,green,bronze,FALSE
10.1136/annrheumdis-2018-213725,green,green,TRUE
10.1136/bmjopen-2018-022952,gold,gold,TRUE
10.1136/bmjopen-2018-023609,gold,gold,TRUE
10.1136/gutjnl-2016-313598,green,green,TRUE
10.1136/jclinpath-2018-205292,closed,closed,TRUE
10.1136/jmedgenet-2017-105020,closed,closed,TRUE
10.1136/jnnp-2018-318382,closed,closed,TRUE
10.1136/neurintsurg-2017-013454,closed,closed,TRUE
10.1136/rmdopen-2017-000566,gold,gold,TRUE
10.1136/rmdopen-2017-000615,gold,gold,TRUE
10.1155/2018/1065271,gold,gold,TRUE
10.1155/2018/3417643,gold,gold,TRUE
10.1155/2018/5821616,gold,gold,TRUE
10.1155/2018/8436437,gold,gold,TRUE
10.1158/1078-0432.ccr-17-2180,bronze,bronze,TRUE
10.1159/000481887,closed,closed,TRUE
10.1159/000484443,green,green,TRUE
10.1159/000485666,closed,closed,TRUE
10.1159/000485735,bronze,bronze,TRUE
10.1159/000485900,green,green,TRUE
10.1159/000486417,closed,closed,TRUE
10.1159/000487403,green,green,TRUE
10.1159/000487669,closed,closed,TRUE
10.1159/000489845,green,green,TRUE
10.1159/000489847,gold,gold,TRUE
10.1159/000489915,gold,gold,TRUE
10.1159/000490154,green,bronze,FALSE
10.1159/000491388,green,bronze,FALSE
10.1159/000492248,gold,gold,TRUE
10.1159/000493551,hybrid,hybrid,TRUE
10.1159/000493645,green,green,TRUE
10.1159/000495560,green,green,TRUE
10.1161/circheartfailure.118.004962,green,green,TRUE
10.1161/circresaha.117.312055,green,green,TRUE
10.1161/circulationaha.118.035970,closed,closed,TRUE
10.1161/hypertensionaha.117.10360,closed,closed,TRUE
10.1161/jaha.118.009807,gold,gold,TRUE
10.1161/strokeaha.117.019431,closed,closed,TRUE
10.1165/rcmb.2017-0237oc,green,green,TRUE
10.1172/jci94287,green,bronze,FALSE
10.1172/jci97103,green,bronze,FALSE
10.1177/0271678x17743876,green,bronze,FALSE
10.1177/0333102418756865,green,green,TRUE
10.1177/1533033818818418,gold,gold,TRUE
10.1177/1591019917733733,green,green,TRUE
10.1177/1933719117715126,closed,closed,TRUE
10.1186/s10194-018-0896-5,gold,gold,TRUE
10.1186/s10194-018-0923-6,gold,gold,TRUE
10.1186/s12876-018-0749-3,gold,gold,TRUE
10.1186/s12879-018-3281-8,gold,gold,TRUE
10.1186/s12883-018-1217-y,gold,gold,TRUE
10.1186/s12884-018-1889-8,gold,gold,TRUE
10.1186/s12889-018-5457-y,gold,gold,TRUE
10.1186/s12890-018-0577-9,gold,gold,TRUE
10.1186/s12891-018-2339-5,gold,gold,TRUE
10.1186/s12903-018-0561-z,gold,gold,TRUE
10.1186/s12906-018-2187-8,gold,gold,TRUE
10.1186/s12911-018-0665-z,gold,gold,TRUE
10.1186/s12916-017-1003-5,gold,gold,TRUE
10.1186/s12916-018-1163-y,gold,gold,TRUE
10.1186/s12933-018-0678-z,gold,gold,TRUE
10.1186/s12955-018-0920-0,gold,gold,TRUE
10.1186/s12968-018-0481-8,gold,gold,TRUE
10.1186/s13014-018-1057-3,gold,gold,TRUE
10.1186/s13023-018-0970-8,gold,gold,TRUE
10.1186/s13039-018-0364-6,gold,gold,TRUE
10.1186/s13072-018-0187-z,gold,gold,TRUE
10.1186/s13073-017-0510-5,gold,gold,TRUE
10.1186/s13073-018-0531-8,gold,gold,TRUE
10.1186/s13073-018-0591-9,gold,gold,TRUE
10.1186/s13075-018-1588-x,gold,gold,TRUE
10.1186/s13075-018-1667-z,gold,gold,TRUE
10.1186/s13075-018-1672-2,gold,gold,TRUE
10.1186/s13601-018-0195-x,gold,gold,TRUE
10.1186/s13756-017-0291-z,gold,gold,TRUE
10.1200/jco.2018.79.1483,hybrid,hybrid,TRUE
10.1210/js.2017-00364,gold,gold,TRUE
10.1212/nxi.0000000000000504,gold,gold,TRUE
10.1371/journal.pcbi.1006607,gold,gold,TRUE
10.1371/journal.pgen.1007171,gold,gold,TRUE
10.1371/journal.pone.0191699,gold,gold,TRUE
10.1371/journal.pone.0192225,gold,gold,TRUE
10.1371/journal.pone.0192778,gold,gold,TRUE
10.1371/journal.pone.0198184,gold,gold,TRUE
10.1371/journal.pone.0201597,gold,gold,TRUE
10.1371/journal.pone.0202133,gold,gold,TRUE
10.1371/journal.pone.0202604,gold,gold,TRUE
10.1371/journal.pone.0204729,gold,gold,TRUE
10.1371/journal.pone.0206234,gold,gold,TRUE
10.1371/journal.pone.0206286,gold,gold,TRUE
10.1371/journal.ppat.1007296,gold,gold,TRUE
10.1371/journal.ppat.1007481,gold,gold,TRUE
10.14283/jpad.2017.23,NA,NA,TRUE
10.1513/annalsats.201806-368aw,green,green,TRUE
10.1515/cclm-2017-0792,closed,closed,TRUE
10.1515/jpm-2016-0341,closed,closed,TRUE
10.1515/pap-2018-0113,NA,NA,TRUE
10.1523/eneuro.0398-17.2018,gold,gold,TRUE
10.1523/jneurosci.2144-18.2018,green,bronze,FALSE
10.15252/emmm.201708089,gold,gold,TRUE
10.1530/ec-18-0160,gold,gold,TRUE
10.1530/eje-18-0185,green,bronze,FALSE
10.1530/eje-18-0328,hybrid,hybrid,TRUE
10.1530/eje-18-0616,bronze,bronze,TRUE
10.1681/asn.2018070740,green,bronze,FALSE
10.2106/jbjs.17.01005,closed,closed,TRUE
10.2147/rmhp.s157379,gold,gold,TRUE
10.2174/1871520618666180228123406,closed,closed,TRUE
10.2174/1874210601812010960,hybrid,hybrid,TRUE
10.21873/anticanres.12509,bronze,bronze,TRUE
10.21873/anticanres.12670,bronze,bronze,TRUE
10.2196/11271,gold,gold,TRUE
10.2340/00015555-2896,gold,gold,TRUE
10.3171/2016.10.jns161793,green,bronze,FALSE
10.3171/2016.12.jns162400,closed,closed,TRUE
10.3171/2017.5.jns17232,bronze,bronze,TRUE
10.3233/ch-189112,closed,closed,TRUE
10.3233/ch-189125,closed,closed,TRUE
10.3233/ch-189322,closed,closed,TRUE
10.3238/arztebl.2018.0785,green,green,TRUE
10.3290/j.jad.a41635,NA,NA,TRUE
10.33549/physiolres.933736,gold,gold,TRUE
10.3389/fcvm.2018.00158,gold,gold,TRUE
10.3389/fendo.2018.00391,gold,gold,TRUE
10.3389/fimmu.2017.01844,gold,gold,TRUE
10.3389/fimmu.2018.00199,gold,gold,TRUE
10.3389/fimmu.2018.00428,gold,gold,TRUE
10.3389/fimmu.2018.01069,gold,gold,TRUE
10.3389/fimmu.2018.01532,gold,gold,TRUE
10.3389/fimmu.2018.01780,gold,gold,TRUE
10.3389/fimmu.2018.01788,gold,gold,TRUE
10.3389/fimmu.2018.02317,gold,gold,TRUE
10.3389/fimmu.2018.02813,gold,gold,TRUE
10.3389/fmed.2018.00315,gold,gold,TRUE
10.3389/fneur.2018.00273,gold,gold,TRUE
10.3389/fneur.2018.00580,gold,gold,TRUE
10.3389/fneur.2018.00842,gold,gold,TRUE
10.3389/fneur.2018.00884,gold,gold,TRUE
10.3389/fneur.2018.00937,gold,gold,TRUE
10.3389/fneur.2018.01075,gold,gold,TRUE
10.3389/fnins.2018.00828,gold,gold,TRUE
10.3389/fphys.2018.00633,gold,gold,TRUE
10.3389/fphys.2018.01786,gold,gold,TRUE
10.3389/fpsyt.2018.00462,gold,gold,TRUE
10.3389/fpsyt.2018.00679,gold,gold,TRUE
10.3390/ijerph15010110,gold,gold,TRUE
10.3390/ijms19061622,gold,gold,TRUE
10.3390/ijms19123841,gold,gold,TRUE
10.3390/jcm7050095,gold,gold,TRUE
10.3390/nu10010095,gold,gold,TRUE
10.3390/nu10010098,gold,gold,TRUE
10.3390/nu10020157,gold,gold,TRUE
10.3390/nu10121859,gold,gold,TRUE
10.3390/nu10121889,gold,gold,TRUE
10.3390/tropicalmed3040116,gold,gold,TRUE
10.3899/jrheum.170486,green,bronze,FALSE
10.4244/eij-d-17-00476,closed,closed,TRUE
10.4269/ajtmh.17-0486,green,bronze,FALSE
10.5603/kp.2018.0180,green,bronze,FALSE
10.5811/westjem.2017.11.35275,gold,gold,TRUE
10.1001/jamaoncol.2018.0077,green,bronze,FALSE
10.1002/ana.25134,closed,closed,TRUE
10.1002/ana.25342,green,green,TRUE
10.1002/cbic.201700596,closed,closed,TRUE
10.1002/cbic.201800128,closed,closed,TRUE
10.1002/ccd.27116,closed,closed,TRUE
10.1002/chir.22803,closed,closed,TRUE
10.1002/da.22683,green,green,TRUE
10.1002/dmrr.3025,closed,closed,TRUE
10.1002/ejhf.1297,bronze,bronze,TRUE
10.1002/ejhf.1312,hybrid,hybrid,TRUE
10.1002/hipo.22816,hybrid,hybrid,TRUE
10.1002/hipo.22833,hybrid,hybrid,TRUE
10.1002/jbio.201800022,closed,closed,TRUE
10.1002/jbio.201800075,closed,closed,TRUE
10.1002/jmr.2677,bronze,bronze,TRUE
10.1002/mgg3.358,gold,gold,TRUE
10.1002/mus.26140,closed,closed,TRUE
10.1002/nau.23545,closed,closed,TRUE
10.1002/pmic.201800080,closed,closed,TRUE
10.1002/sim.7546,green,green,TRUE
10.1002/sim.7689,closed,closed,TRUE
10.1007/s00066-018-1317-z,closed,closed,TRUE
10.1007/s00103-018-2728-9,closed,closed,TRUE
10.1007/s00104-017-0553-6,closed,closed,TRUE
10.1007/s00104-018-0751-x,closed,closed,TRUE
10.1007/s00105-018-4151-4,closed,closed,TRUE
10.1007/s00105-018-4167-9,closed,closed,TRUE
10.1007/s00105-018-4219-1,closed,closed,TRUE
